Name,State,Population,Pop2000,IncomePerCapita,PercentCollegeGrad,MedianRent,CommuteTime,LandArea
DeKalb,MO,12892,11597,19838,14.1,358,26,421.36
Dent,MO,15657,14927,24022,10.4,334,24.5,752.79
Douglas,MO,13684,13084,21426,11.2,266,27.2,813.63
Dunklin,MO,31953,33155,25449,10.5,278,21,541.07
Franklin,MO,101492,93807,32407,16.6,468,27.7,922.68
Gasconade,MO,15222,15342,27554,12.5,357,26.9,517.8
Gentry,MO,6738,6861,27830,12.8,289,20.7,491.42
Greene,MO,275174,240391,32088,26.9,495,19.5,675.3
Grundy,MO,10261,10432,25087,12.6,327,22.3,435.28
Harrison,MO,8957,8850,23492,9.1,285,21.3,722.5
Henry,MO,22272,21997,26876,15,314,25.7,696.95
Hickory,MO,9627,8940,19546,7.1,288,32.6,399.09
Holt,MO,4912,5351,26542,16,279,23.2,462.69
Howard,MO,10144,10212,29211,19.5,320,25.4,463.85
Howell,MO,40400,37238,23797,12.8,339,19.5,927.25
Iron,MO,10630,10697,25659,11.8,297,26.3,550.26
Jackson,MO,674158,654880,36402,26.9,553,22.7,604.46
Jasper,MO,117404,104686,26544,18,426,17.9,638.49
Jefferson,MO,218733,198099,30663,16.2,530,30.1,656.63
Johnson,MO,52595,48258,25267,24.1,476,27.6,829.28
Knox,MO,4131,4361,26051,14.7,250,22.4,504.01
Laclede,MO,35571,32513,24456,12.1,374,20,764.72
Lafayette,MO,33381,32960,31823,15.2,379,27.9,628.43
Lawrence,MO,38634,35204,23355,13.8,384,21.7,611.74
Lewis,MO,10211,10494,22666,14.8,316,24.3,505.04
Lincoln,MO,52566,38944,26572,10.1,516,31.8,626.56
Linn,MO,12761,13754,25680,14.1,303,20.6,615.56
Livingston,MO,15195,14558,27991,20.5,341,17.1,532.33
Macon,MO,15566,15762,25448,14.1,284,22.7,801.23
Madison,MO,12226,11800,22567,10.5,323,23,494.39
Maries,MO,9176,8903,24176,14.3,302,29.3,526.98
Marion,MO,28781,28289,27479,17.4,343,17.1,436.92
McDonald,MO,23083,21681,23021,8,391,28.3,539.48
Mercer,MO,3785,3757,29817,14.4,230,21.1,453.84
Miller,MO,24748,23564,23192,11.3,396,25.1,592.6
Mississippi,MO,14358,13427,23276,10.6,282,19.2,411.58
Moniteau,MO,15607,14827,26032,15,355,26.4,415.03
Monroe,MO,8840,9311,23814,11.4,326,24.1,647.65
Montgomery,MO,12236,12136,27104,12,360,28.4,536.25
Morgan,MO,20565,19309,25366,11.7,357,26.7,597.63
New Madrid,MO,18956,19760,26522,11.4,268,18.9,674.84
Newton,MO,58114,52636,28680,18.4,386,20.6,624.77
Nodaway,MO,23370,21912,22867,23.8,402,15.5,876.96
Oregon,MO,10881,10344,20971,10,254,27.8,789.8
Osage,MO,13878,13062,29344,11.7,356,25.5,604.35
Ozark,MO,9723,9542,20284,9.4,285,27.6,744.97
Pemiscot,MO,18296,20047,25391,10.7,278,16.2,492.54
Perry,MO,18971,18132,25978,10.9,400,21.6,474.35
Pettis,MO,42201,39403,27145,15.5,405,20.7,682.22
Phelps,MO,45156,39825,27718,24.6,409,17.9,671.78
Pike,MO,18516,18351,23605,12.3,376,22.6,670.44
Platte,MO,89322,73781,40149,36.3,665,22.6,420.19
Polk,MO,31137,26992,23087,16.6,380,24.7,635.52
Pulaski,MO,52274,41165,35751,17.1,597,20.5,547.1
Putnam,MO,4979,5223,23219,17.8,317,19.9,517.32
